Pipeline: Blob/Hu moment
Accuracy: 10/24  (41.7%)
Avg time: 2.5 ms/crop

Key                    Expected   Detected   OK       ms
----------------------------------------------------------
gm_250801_01           3142       None       ✗       0.0
gm_250801_02           4068       4068       ✓       5.9
gm_250801_03           3939       None       ✗       0.0
gm_250801_04           3094       None       ✗       0.0
gm_250801_05           3860       None       ✗       0.0
gm_250801_06           3013       None       ✗       0.0
gm_250801_07           4073       None       ✗       0.0
gm_250801_08           3094       3094       ✓       4.6
gm_250730_01           4073       None       ✗       0.0
gm_250730_02           3080       None       ✗       0.0
gm_250730_03           3089       None       ✗       0.0
gm_250730_04           3206       3206       ✓       4.6
gm_250818_01           3841       None       ✗       0.0
gm_250818_02           3839       3839       ✓       6.0
gm_250818_03           4231       None       ✗       0.0
gm_250818_04           3566       3566       ✓       7.7
gm_250818_05           3762       3762       ✓       7.7
gm_250818_06           3735       None       ✗       0.0
gm_250818_07           3843       None       ✗       0.0
gm_250818_08           3785       3785       ✓       5.8
gm_250818_09           3779       3779       ✓       8.1
gm_250818_10           3745       3745       ✓       5.3
gm_250818_11           4065       None       ✗       0.0
gm_250818_12           3620       3620       ✓       5.5
