Pipeline: Tesseract
Accuracy: 6/24  (25.0%)
Avg time: 119.7 ms/crop

Key                    Expected   Detected   OK       ms
----------------------------------------------------------
gm_250801_01           3142       None       ✗       0.0
gm_250801_02           4068       4068       ✓     230.8
gm_250801_03           3939       None       ✗       0.0
gm_250801_04           3094       None       ✗       0.0
gm_250801_05           3860       None       ✗       0.0
gm_250801_06           3013       None       ✗       0.0
gm_250801_07           4073       None       ✗       0.0
gm_250801_08           3094       3094       ✓     233.7
gm_250730_01           4073       None       ✗       0.0
gm_250730_02           3080       None       ✗       0.0
gm_250730_03           3089       None       ✗       0.0
gm_250730_04           3206       3206       ✓     212.2
gm_250818_01           3841       None       ✗       0.0
gm_250818_02           3839       None       ✗     412.6
gm_250818_03           4231       None       ✗       0.0
gm_250818_04           3566       None       ✗     392.4
gm_250818_05           3762       3762       ✓     199.0
gm_250818_06           3735       None       ✗       0.0
gm_250818_07           3843       None       ✗       0.0
gm_250818_08           3785       None       ✗     395.2
gm_250818_09           3779       3779       ✓     201.2
gm_250818_10           3745       None       ✗     395.5
gm_250818_11           4065       None       ✗       0.0
gm_250818_12           3620       3620       ✓     199.3
